iter	Logloss
0	0.6687740872
1	0.6486880975
2	0.6289415886
3	0.612966398
4	0.5975241809
5	0.5844944735
6	0.5730824827
7	0.5627602506
8	0.5528701717
9	0.5437772033
10	0.535587451
11	0.5292156588
12	0.5227219701
13	0.5176413621
14	0.5135758816
15	0.5093785025
16	0.5051437509
17	0.5016795026
18	0.4984821648
19	0.4955152091
20	0.4927482504
21	0.4903546697
22	0.4880409287
23	0.4858210083
24	0.4837045398
25	0.4819389162
26	0.4805183509
27	0.4793005956
28	0.4783948954
29	0.477250098
30	0.4760382687
31	0.4752324453
32	0.474325483
33	0.4733124917
34	0.4726089208
35	0.4718345948
36	0.4712894549
37	0.4707260341
38	0.4700234321
39	0.4693877615
40	0.4689846789
41	0.4685536399
42	0.4680957041
43	0.4676717648
44	0.4673390143
45	0.4670558535
46	0.4666338492
47	0.4662502643
48	0.4660390766
49	0.4657949428
50	0.46543954
51	0.465165721
52	0.4648705875
53	0.4646193518
54	0.4643567503
55	0.4640927138
56	0.4639263022
57	0.4636653998
58	0.4634541262
59	0.4632848098
60	0.4630904751
61	0.462975393
62	0.4627194513
63	0.4625771326
64	0.4624014154
65	0.4622412703
66	0.4621302132
67	0.4620730332
68	0.4619317659
69	0.4618189155
70	0.4616835863
71	0.4615145099
72	0.4613557253
73	0.461156962
74	0.4610350391
75	0.460881777
76	0.460779475
77	0.4606935389
78	0.4604719051
79	0.4604049681
80	0.4603055393
81	0.4601868668
82	0.4600060165
83	0.4598996128
84	0.4598023163
85	0.4596446211
86	0.4594958489
87	0.4594666755
88	0.4593676039
89	0.4592844109
90	0.459194858
91	0.459075135
92	0.4590016551
93	0.4589509717
94	0.4588132834
95	0.4587116518
96	0.4586030105
97	0.4585329534
98	0.4584658832
99	0.4583532272
100	0.4581753462
101	0.4580885683
102	0.4580007416
103	0.4579003963
104	0.4577753005
105	0.4576289777
106	0.4575833367
107	0.4574971059
108	0.4573984682
109	0.4573594101
110	0.4572272071
111	0.4571277032
112	0.4570951819
113	0.4570544194
114	0.4570242067
115	0.4569234175
116	0.4567219616
117	0.4565998295
118	0.4564714206
119	0.4564293774
120	0.4563450661
121	0.456275484
122	0.4561233987
123	0.4559297431
124	0.4558091863
125	0.4557535282
126	0.4556716967
127	0.455507166
128	0.4554715984
129	0.455363902
130	0.4551911936
131	0.4551571802
132	0.4550384155
133	0.4548518661
134	0.4547945633
135	0.4547105868
136	0.4545844263
137	0.4545252135
138	0.4544792106
139	0.4543777782
140	0.4543134911
141	0.4542595779
142	0.454136902
143	0.4540557526
144	0.4540039323
145	0.4539355351
146	0.4538282781
147	0.4537371989
148	0.4536309895
149	0.4534859803
150	0.4533221932
151	0.4532888225
152	0.4531309865
153	0.4529972999
154	0.4529236702
155	0.4528348734
156	0.4528084315
157	0.4527436961
158	0.4525534439
159	0.4524260661
160	0.4522712129
161	0.4521799904
162	0.4521259678
163	0.4520906111
164	0.4520263983
165	0.4519303698
166	0.4518957671
167	0.4517454427
168	0.4516366693
169	0.4515698148
170	0.451493713
171	0.4513754968
172	0.451310075
173	0.4512637835
174	0.4512509273
175	0.4511662457
176	0.4510868859
177	0.4510054221
178	0.4509600292
179	0.4509231013
180	0.4508085509
181	0.4507435466
182	0.4506471295
183	0.4506263431
184	0.4505269299
185	0.4504615942
186	0.4504509089
187	0.4504027132
188	0.4503498143
189	0.4502303396
190	0.4501310935
191	0.4501003436
192	0.4499988115
193	0.4498067024
194	0.449737157
195	0.4496858871
196	0.449617515
197	0.4494664902
198	0.449435048
199	0.4493054764
200	0.4492019962
201	0.4490334678
202	0.4488420077
203	0.4487843625
204	0.4486639168
205	0.448551676
206	0.4484990563
207	0.4483316757
208	0.4482182703
209	0.4480409641
210	0.4479350495
211	0.4478350011
212	0.4477998061
213	0.4476602864
214	0.447541399
215	0.4473261261
216	0.4471798285
217	0.4470117205
218	0.4469235077
